credit_id,tracker_id,pet_name,old_units_total,new_units_total,old_units_consumed,new_units_consumed,applied_at
654d31a2-e957-4565-9cb4-ebd832d61902,PKG-92359,Rocky,10,30,10,30,2026-05-28
d7d16d9b-b788-49d0-878b-693cd6d4dfda,PKG-92359,Mei Mei,10,30,10,30,2026-05-28
3e47b687-b2bf-4c06-8437-49c7018a13c5,PKG-92359,Lotus,10,30,10,30,2026-05-28
1c2d65c7-cb59-462a-b056-e27f0764681d,PKG-82431,Tino,30,34,30,34,2026-05-28
13f3a4c9-d04c-4a48-b3b5-5edb1219ecb5,PKG-82436,Bob,30,31,30,31,2026-05-28
90d57f6b-cc36-4a0b-a673-5b2d41f6671c,PKG-71574,Luna,6,7,6,7,2026-05-28
0932070a-92e9-480e-87ac-de3ead54d910,PKG-92736,Baxter,7,7,6,5,2026-05-28
f86590c4-4061-4a12-b3d5-0abb40b4da9c,PKG-82825-82952,Sable,30,31,30,31,2026-05-28
036c544f-1a51-454c-8b3a-f760e47a39d9,PKG-82825-82952,Buddy,30,31,30,31,2026-05-28
acc29a3e-b97c-468a-9206-1392e65cead7,PKG-92189,Fenti,7,7,4,7,2026-05-28
fd3808cb-2975-43aa-a64b-05957906d3ef,PKG-92189,Tuesdee,7,7,4,7,2026-05-28
be807960-f92d-45ea-aa79-7ade29f78c3b,PKG-92236,Rumi,18,6,18,6,2026-05-28
bcc12447-c031-49b0-ab4d-bfeda40e8dc6,PKG-92236,Finley,18,6,18,6,2026-05-28
3bfe7e53-bdd3-466f-be9c-16e8d08a8992,PKG-92236,Alfie,18,6,18,6,2026-05-28
8b2d8d3d-6025-489b-b120-536acfbf147d,PKG-86058,Rocky,10,30,10,13,2026-05-28
8ac2402c-8618-493a-a8aa-86f1ec238aee,PKG-86058,Mei Mei,10,30,10,13,2026-05-28
bb7b8233-45b8-44c3-b721-e534d3bb4da3,PKG-86058,Lotus,10,30,10,13,2026-05-28
4bde7c3c-f153-49bd-990d-b8abe97633c6,PKG-89501,Francisco,30,30,30,29,2026-05-28
9553e76b-c91b-44be-a386-325f2b9b0958,PKG-89659,Sable,30,31,15,31,2026-05-28
ca7ba121-aa61-4294-b984-845b819220d6,PKG-89659,Buddy,30,31,15,31,2026-05-28
d422d208-8a2b-485f-b855-3553e9b1500c,PKG-91073,Rocky,15,30,12,14,2026-05-28
e7793858-d870-4161-92c2-7ef4bf786677,PKG-91073,Luna,15,30,12,14,2026-05-28
719e288c-d8fe-4f1c-bc1b-bc52f783de06,PKG-91164,Henry,30,32,16,32,2026-05-28
668feb0f-163f-413b-8b18-3597e16b99bf,PKG-91164,Alfie,30,32,16,32,2026-05-28
2a7ba8bd-635f-40aa-b966-865fdfe279e9,PKG-91175,Rocky,10,30,10,12,2026-05-28
8cc798bb-5316-4e6e-9fca-25266334ef1d,PKG-91175,Mei Mei,10,30,10,12,2026-05-28
6d5a4089-7128-4199-894d-22a0fc0425ea,PKG-91175,Lotus,10,30,10,12,2026-05-28
803e9991-30c9-49bc-a3b0-467b9339be2b,PKG-81007,Buddy,30,31,30,31,2026-05-28
3da4b99b-f114-455d-803f-a9aaa93854e6,PKG-90695-90717,Sable,30,31,15,31,2026-05-28
2071c2e6-c312-463d-81b6-1c0e239a4312,PKG-90695-90717,Buddy,30,31,15,31,2026-05-28
7f9785db-1207-40e6-a120-7d68bffbc450,PKG-90306,Honey,30,30,1,29,2026-05-28
b4334220-3726-4b08-bb67-845173a45c25,PKG-90398,Rocky,10,30,10,30,2026-05-28
be176ed0-3df5-4a07-ac79-418dda4e0cb2,PKG-90398,Mei Mei,10,30,10,30,2026-05-28
fa2a79fa-bff1-4779-b177-1348d19f573f,PKG-90398,Lotus,10,30,10,30,2026-05-28
2e392f2f-8dd7-4b5c-ba45-3fdb18a675c6,PKG-85132-85771,Sable,30,32,16,32,2026-05-28
86fbe35e-8c4b-4ec5-a8d2-7a4a5bebe714,PKG-85132-85771,Buddy,30,32,16,32,2026-05-28
e5f2a5fb-c732-4c43-a351-12ef3dc6176d,PKG-85160,Rusty,30,31,30,31,2026-05-28
76f7edcc-d809-4da1-8ead-76fcab9d762e,PKG-85435,Lilly,12,6,12,6,2026-05-28
94b8d2af-3e46-4e62-a47c-957f5cfa6663,PKG-73143,Luna,6,7,6,7,2026-05-28
78f0d23d-00f1-4b71-a2cb-1f32d37cbc7b,PKG-84252,Javier,15,30,15,15,2026-05-28
9bd51c18-b5bc-45b7-b786-cc5c0b8881f2,PKG-84252,Jack,15,30,15,15,2026-05-28
9cae4902-c6d5-437e-86a4-c88332d27bb5,PKG-84477,Ace,12,13,6,13,2026-05-28
c202497c-1899-4c30-aa1b-48807dbed8dd,PKG-84477,Skye,12,13,6,13,2026-05-28
c08d8078-50d3-47f2-9666-73d9aeb5d995,PKG-84539,Rocky,10,30,10,13,2026-05-28
9230cbf2-f060-41e2-a75f-c9e7d1be6b89,PKG-84539,Mei Mei,10,30,10,13,2026-05-28
30a99fab-a83a-4d5f-a360-61b352d38781,PKG-84539,Lotus,10,30,10,13,2026-05-28
76390186-0261-481f-bb9e-4ca0ec64aa4c,PKG-91549,Riko,6,7,3,7,2026-05-28
0936872f-639e-4040-a925-72182a3af848,PKG-91549,Misha,6,7,3,7,2026-05-28
7c109e7d-fbe1-416b-ba57-3a3381fdc225,PKG-91924,Sable,30,31,15,31,2026-05-28
c7e850b6-ff4d-47bc-ad54-1c43db1585da,PKG-91924,Buddy,30,31,15,31,2026-05-28
0720a066-9efa-4014-975e-61aedd24f725,PKG-70619,Ace,12,14,7,14,2026-05-28
9635a26e-d4cb-426e-8fb6-54a4524087b9,PKG-70619,Skye,12,14,7,14,2026-05-28
b1f8b5aa-7829-45f9-aadd-238fb73b4eca,PKG-92846,Rusty,30,30,15,14,2026-05-28
333b60ea-1626-4963-b454-cc415b826d07,PKG-93125,Archie,14,14,2,7,2026-05-28
1a8c1bea-9d9a-4c6d-b2d2-e1c6b9ea693c,PKG-93168,Rumi,18,6,7,6,2026-05-28
fd6d2cf1-ce9f-4681-b93a-2b62a9f8d6cd,PKG-93168,Finley,18,6,7,6,2026-05-28
ee5551e9-95ae-4bc4-bc22-8f9cb2a6ba5a,PKG-93168,Alfie,18,6,7,6,2026-05-28
6bca4d7a-00c1-49ac-8572-3140bfbd19b0,PKG-93219,Buddy,30,30,9,8,2026-05-28
3ee530f6-915f-4429-8a99-2b3bfba2b6ea,PKG-93219,Sable,30,30,9,8,2026-05-28
1ac64b7e-9fa8-4795-8d28-07040a9e0ae6,PKG-93437,Poppy,7,7,2,0,2026-05-28
93ad16ac-f14a-4ed5-8045-32dcb1c8c1c7,PKG-Invoice-Loki-Mouchantaf-loki-mouchantaf-May-23-2026-package-xlsx,Loki,14,14,1,0,2026-05-28
5726be1d-4c22-4f94-beba-2df3ca6fd17e,PKG-83836,Winnie,6,7,3,7,2026-05-28
0202d4ef-0875-4fb4-9488-4d485cabe739,PKG-83836,Baxter,6,7,3,7,2026-05-28
af205408-15d3-442c-b5f2-6018cd486fbf,PKG-88592-88796,Sable,30,31,15,31,2026-05-28
fdbed5cc-dc86-4692-95e3-d02df4ba686e,PKG-88592-88796,Buddy,30,31,15,31,2026-05-28
fed1b92a-d711-4644-baba-337d148267ed,PKG-78408-78517,Sable,30,51,30,51,2026-05-28
b68bddb6-94c8-46dd-a94a-3ea623a494f6,PKG-78408-78517,Buddy,30,51,30,51,2026-05-28
16c74058-952d-4fa6-91f9-172c54c67a6a,PKG-89021,Rocky,10,30,10,14,2026-05-28
72ef379f-8e28-41a2-ad95-b7122f98b4f0,PKG-89021,Mei Mei,10,30,10,14,2026-05-28
ce5f08fc-8191-41a5-ac66-e1eb9fd9eca4,PKG-89021,Lotus,10,30,10,14,2026-05-28
9be2f37a-49f8-40a0-bbef-c4042752b7bc,PKG-87647,Henry,30,32,16,32,2026-05-28
79da945b-da14-46bb-aef3-c8c00650b87d,PKG-87647,Alfie,30,32,16,32,2026-05-28
b6325b17-0e39-4288-8315-5574489b8e3f,PKG-87705,Rocky,10,30,10,12,2026-05-28
f3a86f6d-9707-4c8b-b938-6c41889e2d5c,PKG-87705,Mei Mei,10,30,10,12,2026-05-28
ef98bf21-2831-48b9-baeb-07749043d45c,PKG-87705,Lotus,10,30,10,12,2026-05-28
d5c1bc43-8633-45a7-a2ca-cd7b755c7f22,PKG-87380,Rumi,18,6,18,6,2026-05-28
44f2855d-4b30-4474-96f4-7455400099a8,PKG-87380,Finley,18,6,18,6,2026-05-28
f76f678b-eabd-4512-84d4-7d8775c1dfd3,PKG-87380,Alfie,18,6,18,6,2026-05-28
ab71864d-7636-440e-81d3-93ca3bb9af28,PKG-87582-87609,Sable,30,32,16,32,2026-05-28
78ef5742-32fb-4c69-a1be-a97cc772c734,PKG-87582-87609,Buddy,30,32,16,32,2026-05-28
f7bd76db-1559-481c-85b2-2fd3c119b687,PKG-87387,Luna,6,7,6,7,2026-05-28
2db67d5f-58bc-4668-9fa2-c9d81a9a5a0f,PKG-87301,Bob,30,31,30,31,2026-05-28
